
Univariate analysis of categorical variables:

Dependents (2):  OrderType = eCnj, Ind, kaaCnj, OtherCnj 

Independents (1): RdplS, RdplW, PV.Time, PV.Move, PV.StartFinWantCan, PV.Qual, PV.StartFin, PV.Position, PV.Discourse, PV.WantCan, AI_cosine_11, AI.do, AI.state, AI.speech, 
AI_cosine_5, AI_cosine_1, AI_cosine_2, AI_cosine_6, AI_cosine_3, AI.cooking, AI.reflexive, AI_cosine_9, AI_cosine_4, AI_cosine_12, AI.health, AI.plural, 
AI_cosine_7, AI.money.count, AI.pray, AI_cosine_8, AI_cosine_13, AI_cosine_10, AI.heat.fire, auto.vai.2, auto.vai.5, auto.vai.6, auto.vai.12, auto.vai.11, 
auto.na.5.actor, auto.vai.9, auto.vai.3, auto.nda.1.actor, auto.vai.4, auto.vai.13, auto.na.7.actor, auto.vai.1, auto.vai.8, auto.vai.7, auto.nda.3.actor, 
auto.vai.10, auto.na.1.actor, auto.na.2.actor, auto.na.3.actor, auto.ni.3.actor, auto.na.4.actor, auto.na.6.actor, A.actor, N.actor, NA.persons.actor, 
Sg.actor, Pron.actor, Pl.actor, D.actor, NDA.Relations.actor, Px1Sg.actor, Pers.actor, Dem.actor, Incl.actor, Med.actor, Prox.actor, 
NA.beast.of.burden.actor, pn.1Sg.actor, pn.3Sg.actor, Obv.actor, pn.1Pl.actor, NA.food.actor, Px3Sg.actor, Indef.actor, pn.3Pl.actor, NI.object.actor, 
Px12Pl.actor, Px1Pl.actor, actor.3, actor.1, actor.2, actor.4


                            N      alpha.X2       uc.12        uc.21 eCnj Ind kaaCnj OtherCnj
NDA.Relations.actor       231   0.005418024 0.009852705  0.001359186    0   0      0        -
Px1Sg.actor               182    0.03978032 0.007970223 0.0009151706    0   0      0        -
Pers.actor                178     0.4688016 0.001582414 0.0001785885    0   0      0        0
Dem.actor                 141     0.0157974 0.007034421 0.0006614276    0   0      +        0
Incl.actor                 80     0.7166405 0.001597579 9.539027e-05    0   0      0        0
Med.actor                  72    0.03033622  0.01158009 0.0006345875    0   0      +        0
Prox.actor                 67     0.4505716 0.003203799 0.0001655364    0   0      0        0
NA.beast.of.burden.actor   60    0.05258526   0.0125581 0.0005926934    0   -      0        0
pn.1Sg.actor               57     0.3274094 0.005274925 0.0002386632    0   0      0        0
pn.3Sg.actor               52     0.4220429 0.004897096 0.0002053984    0   0      0        0
Obv.actor                  45    0.02500777  0.01844815 0.0006863667    +   -      0        0
pn.1Pl.actor               40   0.001041356  0.04293749  0.001448229    +   -      0        0
NA.food.actor              38     0.1726755  0.01091511 0.0003527141    0   0      0        0
Px3Sg.actor                23     0.1038753  0.02415467 0.0005113233    +   0      0        0
Indef.actor                22  0.0002319764  0.04440934 0.0009052664    -   0      0        +
pn.3Pl.actor               18     0.5203927  0.00874504  0.000150253    0   0      0        0
NI.object.actor            13    0.00108986  0.07627722 0.0009914524    -   +      0        +
Px12Pl.actor               12     0.4778305  0.01853633 0.0002248809    0   0      0        0
Px1Pl.actor                10   0.005082107   0.0628112 0.0006509585    0   0      +        0
actor.3                  3670  1.328861e-36  0.01998346   0.01198998    -   +      -        -
actor.1                  1797  1.013629e-05 0.003436653  0.001806444    +   -      -        0
