
Univariate analysis of categorical variables:

Dependents (2):  OrderType = eCnj, Ind, kaaCnj, OtherCnj 

Independents (1): RdplS, RdplW, PV.Time, PV.Move, PV.StartFinWantCan, PV.Position, PV.Discourse, PV.WantCan, PV.Qual, PV.StartFin, TI.do, TI_cosine_3, TI_cosine_1, 
TI.cognitive, TI_cosine_4, TI.speech, TI_cosine_2, TI.money.count, TI_cosine_5, TI_cosine_6, auto.vti.1, auto.vti.4, auto.ni.3.goal, auto.vti.2, 
auto.vti.3, auto.na.5.actor, auto.ni.9.goal, auto.ni.2.goal, auto.ndi.1.goal, auto.ni.6.goal, auto.na.7.actor, auto.ni.7.goal, auto.ni.10.goal, 
auto.nda.1.actor, auto.ni.4.goal, auto.ni.1.goal, auto.na.1.actor, auto.ni.8.goal, auto.ni.5.goal, auto.vti.6, auto.vti.5, NA.persons.actor, A.actor, 
N.actor, Pron.actor, Sg.actor, Pers.actor, Pl.actor, D.actor, NDA.Relations.actor, pn.1Sg.actor, Px1Sg.actor, Incl.actor, Dem.actor, niya.actor, 
pn.3Sg.actor, Prox.actor, pn.3Pl.actor, Indef.actor, actor.3, actor.1, actor.2, actor.4, I.goal, Sg.goal, N.goal, NI.object.goal, Dem.goal, Pron.goal, 
Pl.goal, Prox.goal, Med.goal, NI.nominal.goal, NI.natural.force.goal, D.goal, NDI.Body.goal, NI.nature.plants.goal, NI.place.goal, Px3Sg.goal, 
Der/Dim.goal, Px1Sg.goal, Px12Pl.goal, Px3Pl.goal


                         N     alpha.X2        uc.12        uc.21 eCnj Ind kaaCnj OtherCnj
I.goal                1017 1.249965e-12   0.01470294  0.008061957    0   -      +        0
Sg.goal                774 3.469836e-13   0.01630446  0.007961275    -   -      +        0
N.goal                 730 4.724096e-08   0.01113409  0.005282642    +   -      +        0
NI.object.goal         705 7.070834e-08    0.0100338  0.004677346    0   0      +        0
Dem.goal               310 5.829089e-08   0.01586047  0.004499308    -   0      +        0
Pron.goal              310 5.829089e-08   0.01586047  0.004499308    -   0      +        0
Pl.goal                251 0.0009443846  0.009808646    0.0024076    +   -      0        0
Prox.goal              175 5.642808e-08   0.02273007  0.004311628    -   0      +        0
Med.goal               135    0.1142929  0.004999124  0.000782504    0   0      +        0
NI.nominal.goal        106 2.880254e-05   0.02340261   0.00304986    0   -      +        +
NI.natural.force.goal   71  0.006788324   0.01986948  0.001897114    +   -      0        0
D.goal                  54    0.3504429  0.006416359 0.0004931143    0   0      0        0
NDI.Body.goal           45    0.2680956  0.008832908 0.0005864152    0   0      0        0
NI.nature.plants.goal   42   0.04586702   0.01981603  0.001244279    0   0      0        0
NI.place.goal           40   0.01037442    0.0355762  0.002147335    +   -      0        0
Px3Sg.goal              36    0.1753319   0.01369189 0.0007586036    0   0      0        0
Der/Dim.goal            28    0.2591681    0.0134312 0.0006057365    0   0      0        0
Px1Sg.goal              17    0.3494502   0.01495411 0.0004455753    0   0      0        0
Px12Pl.goal             15  0.001883578   0.05773166  0.001548629    -   0      +        0
Px3Pl.goal              12    0.1617518   0.04355255  0.000967771    0   0      0        0


Association measures:
  statistic.12 ~ statistic(1|2) ~ statistic(independent|dependent) [ ~ statistic(R|C) ]
  statistic.21 ~ statustic(2|1) ~ statistic(dependent|independent) [ ~ statistic(C|R) ]

Posthoc cellwise chi-squared analysis:  std.pearson.residuals.sign 

